compound_id,name,mono_mass,source_type,unit,median_content,min_content,max_content,iqr_content,n_foods_measured,n_total_foods
2,Proteins,,Nutrient,mg/100g,8137.5,0,88320,19260,464,561
3,Carbohydrate,,Nutrient,mg/100g,4300,0,98550,19925,459,561
4,Fatty acids,,Nutrient,mg/100g,1200,0,100000,8000,445,561
5,Fiber (dietary),,Nutrient,mg/100g,0,0,79000,2000,399,561
31,22:0,,Nutrient,mg/100g,0,0,2800,2,230,561
36,22:5 n-3,,Nutrient,mg/100g,0,0,5613,0,344,561
38,Energy,,Nutrient,kcal/100g,152.007648184,0,900,177.282982792,442,561
1131,Sucrose,342.116211546,Compound,mg/100g,0,0,80350,70,265,561
753,Ethanol,46.041864814,Compound,mg/100g,0,0,34400,0,344,561
13831,Retinol,286.229665582,Compound,RE,2,0,60000,12,423,561
13831,Retinol,286.229665582,Compound,mg/100g,0,0,60,0.001,421,561
14616,beta-Carotene,536.438201803,Compound,mg/100g,0,0,233.05,0.053,384,561
21596,Vitamin D,384.33921603,Compound,mg/100g,0,0,0.5,0.0001,359,561
12735,Vitamin D3,384.33921603,Compound,mg/100g,0,0,0.0274,0.000144,234,561
12814,Ergocalciferol,396.33921603,Compound,mg/100g,0,0,0.0281,0,196,561
565,alpha-Tocopherol,430.381080844,Compound,α-TE,0.1,0,149,0.7,184,561
565,alpha-Tocopherol,430.381080844,Compound,mg/100g,0.08,0,183.9,0.37,344,561
12360,Phytomenadione,450.349780716,Compound,mg/100g,0.0003,0,30,0.0021,335,561
8417,Thiamine hydrochloride,336.057837322,Compound,mg/100g,0.06,0,2.75,0.215,184,561
12163,Riboflavine,376.138284392,Compound,mg/100g,0.13,0,9.7,0.179,460,561
1014,Nicotinic acid,123.032028409,Compound,NE,1.53,0,40.8,5.99,184,561
1014,Nicotinic acid,123.032028409,Compound,mg/100g,1.939,0,40.8,4.3945,459,561
574,Pyridoxine,169.073893223,Compound,mg/100g,0.216,0,4.228,0.327,429,561
8323,Pantothenic acid,219.110672659,Compound,mg/100g,0.43,0,21.879,0.577,408,561
14513,Biotin,244.088163078,Compound,mg/100g,0,0,210,1.3,197,561
14507,Folic acid,441.139681375,Compound,mg/100g,0.009,0,658,0.122,426,561
13267,Cyanocobalamin,1354.5674053,Compound,mg/100g,0,0,0.11,0.00056,421,561
1224,L-Ascorbic acid,176.032087988,Compound,mg/100g,0,0,1900,9.55,455,561
3524,Sodium,22.989769675,Compound,mg/100g,53,0,8120,79.75,452,561
3522,Potassium,38.963706861,Compound,mg/100g,304,0,8710,217,454,561
3514,Calcium,39.962591155,Compound,mg/100g,18,0,6080,38,467,561
3521,Phosphorus,33.997236608,Compound,mg/100g,162,0,1951.3,190.1808336375,463,561
16258,Iron,55.934942133,Compound,mg/100g,1.2,0,383.1,2.09,466,561
3583,Copper,62.929601079,Compound,mg/100g,0.095,0,15.05,0.119,444,561
3730,Zinc,63.929146578,Compound,mg/100g,1.02,0,90.95,3.36,443,561
3636,Iodine,253.80893684,Compound,mg/100g,0.0005,0,36,0.0011,203,561
3637,Manganese,54.938049636,Compound,mg/100g,0.073,0,250,0.347,438,561
3517,Chromium,51.940511904,Compound,mg/100g,0.0014,0,281,0.0053,226,561
13403,Selenium,79.916521828,Compound,mg/100g,0.0055,0,25,0.0243,407,561
13447,Nickel,57.935347922,Compound,mg/100g,0.002,0,1.55,0.008885,214,561
12531,D-Fructose,540.190164348,Compound,mg/100g,0,0,42830,300,262,561
12533,D-Glucose,540.190164348,Compound,mg/100g,0,0,33900,502.5,253,561
1145,Lactose,342.116211546,Compound,mg/100g,0,0,2690,0,246,561
1193,Maltose,342.116211546,Compound,mg/100g,0,0,6710,0,247,561
3716,Sugars,342.116211546,Compound,mg/100g,0,0,95290,2610,339,561
1128,Starch,180.063388116,Compound,mg/100g,0,0,87000,1492.5,249,561
13900,Hexanoic acid,116.083729628,Compound,mg/100g,0,0,752,0,335,561
3337,Octanoic acid,144.115029756,Compound,mg/100g,0,0,8212,0,348,561
12030,Decanoic acid,172.146329884,Compound,mg/100g,0,0,6000,4,346,561
3011,Dodecanoic acid,200.177630012,Compound,mg/100g,0,0,53428,6,353,561
10035,Pentadecanoic acid,242.224580204,Compound,mg/100g,0,0,800,1,240,561
8052,Heptanoic acid,130.099379692,Compound,mg/100g,5,0,410,57,235,561
12636,Myristoleic acid,226.193280076,Compound,mg/100g,0,0,424,0,191,561
21631,"C18:1, n-9",282.255880332,Compound,mg/100g,48,0,75000,2223.5,184,561
2953,Vaccenic acid,282.255880332,Compound,mg/100g,0,0,1290,0,191,561
3772,Gadoleic acid,310.287180464,Compound,mg/100g,0,0,6280,7,200,561
4288,Erucic acid,338.318480588,Compound,mg/100g,0,0,11062.9,0,196,561
