sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
D_SRR5935820,Bacteria,2,D,7667841,0,7667841,0.99949,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR5935820,Eukaryota,2759,D,1291,0,1291,0.00017,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR5935820,Viruses,10239,D,1313,0,1313,0.00017,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935820,Duplodnaviria,2731341,D,1313,0,1313,0.00017,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935764,Bacteria,2,D,7724546,0,7724546,0.99827,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR5935764,Eukaryota,2759,D,960,0,960,0.00012,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR5935764,Viruses,10239,D,6197,0,6197,0.00080,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935764,Duplodnaviria,2731341,D,6197,0,6197,0.00080,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935893,Bacteria,2,D,8338893,0,8338893,0.99139,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR5935893,Eukaryota,2759,D,570,0,570,0.00007,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR5935893,Viruses,10239,D,35937,0,35937,0.00427,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935893,Duplodnaviria,2731341,D,35937,0,35937,0.00427,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935797,Bacteria,2,D,6603887,0,6603887,0.99828,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR5935797,Eukaryota,2759,D,8412,0,8412,0.00127,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR5935797,Viruses,10239,D,1479,0,1479,0.00022,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935797,Duplodnaviria,2731341,D,1479,0,1479,0.00022,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935825,Bacteria,2,D,5541907,0,5541907,0.99713,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR5935825,Archaea,2157,D,1687,0,1687,0.00030,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR5935825,Eukaryota,2759,D,1330,0,1330,0.00024,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR5935825,Viruses,10239,D,6455,0,6455,0.00116,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935825,Duplodnaviria,2731341,D,6455,0,6455,0.00116,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935772,Bacteria,2,D,11313091,0,11313091,0.99796,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR5935772,Archaea,2157,D,19553,0,19553,0.00172,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR5935772,Eukaryota,2759,D,627,0,627,0.00006,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR5935772,Viruses,10239,D,1478,0,1478,0.00013,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935772,Duplodnaviria,2731341,D,1478,0,1478,0.00013,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935889,Bacteria,2,D,7327706,0,7327706,0.99765,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR5935889,Eukaryota,2759,D,1207,0,1207,0.00016,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR5935889,Viruses,10239,D,8038,0,8038,0.00109,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935889,Duplodnaviria,2731341,D,8018,0,8018,0.00109,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935889,Ampullaviridae,573053,D,11,0,11,0.00000,k__Viruses;p__;c__;o__;f__Ampullaviridae;g__;s__,10239;;;;573053;;
D_SRR5935771,Bacteria,2,D,6292153,0,6292153,0.98723,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR5935771,Eukaryota,2759,D,7595,0,7595,0.00119,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR5935771,Viruses,10239,D,36908,0,36908,0.00579,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935771,Duplodnaviria,2731341,D,36908,0,36908,0.00579,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935768,Bacteria,2,D,8443237,0,8443237,0.92282,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR5935768,Eukaryota,2759,D,1606,0,1606,0.00018,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR5935768,Viruses,10239,D,352272,0,352272,0.03850,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR5935768,Duplodnaviria,2731341,D,352272,0,352272,0.03850,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
