sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
D_SRR7217485,Bacteria,2,D,2140062,0,2140062,0.99889,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR7217485,Eukaryota,2759,D,34,0,34,0.00002,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR7217485,Viruses,10239,D,1172,0,1172,0.00055,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR7217485,Duplodnaviria,2731341,D,1172,0,1172,0.00055,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR7217530,Bacteria,2,D,2388211,0,2388211,0.99998,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR7217530,Eukaryota,2759,D,24,0,24,0.00001,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR7217530,Viruses,10239,D,10,0,10,0.00000,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR7217530,Duplodnaviria,2731341,D,10,0,10,0.00000,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR7217502,Bacteria,2,D,1585126,0,1585126,0.99945,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR7217502,Eukaryota,2759,D,597,0,597,0.00038,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR7217502,Viruses,10239,D,139,0,139,0.00009,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR7217502,Duplodnaviria,2731341,D,139,0,139,0.00009,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR7217520,Bacteria,2,D,1715024,0,1715024,0.99946,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR7217520,Eukaryota,2759,D,793,0,793,0.00046,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR7217520,Viruses,10239,D,67,0,67,0.00004,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR7217520,Duplodnaviria,2731341,D,34,0,34,0.00002,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR7217520,Varidnaviria,2732004,D,33,0,33,0.00002,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR7217486,Bacteria,2,D,2612316,0,2612316,0.99797,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR7217486,Eukaryota,2759,D,5285,0,5285,0.00202,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR7217486,Viruses,10239,D,14,0,14,0.00001,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR7217486,Duplodnaviria,2731341,D,14,0,14,0.00001,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR7217510,Bacteria,2,D,2286536,0,2286536,0.99979,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR7217510,Eukaryota,2759,D,35,0,35,0.00002,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
