Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,environment_(feature),environment_(material),Experiment,external_id,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,Sequencing_method,SRA Study,Submitter_Id
ERR4088386,WGS,143,284626994,PRJEB37249,SAMEA6810905,229488408,INRA-META,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2020-05-01,2020-05-01T17:08:23Z,2020-05-01,2020-05-01T10:14:00Z,human-associated habitat,feces,ERX4084211,SAMEA6810905,human-gut,INRA-META,2020-05-01T17:08:23Z,2020-05-01T10:14:00Z,public,Ion Torrent Proton,metagenome,M0x30MCx3301_3,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ION_TORRENT,metacardis-statin,2020-05-02T00:00:00Z,2020-05-07T21:17:00Z,1,SAMEA6810905,M0x30MCx3301,human gut metagenome,Ion-Proton,ERP120556,M0x30MCx3301
ERR4088387,WGS,143,362177657,PRJEB37249,SAMEA6810905,273136189,INRA-META,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2020-05-01,2020-05-01T17:08:23Z,2020-05-01,2020-05-01T10:14:00Z,human-associated habitat,feces,ERX4084212,SAMEA6810905,human-gut,INRA-META,2020-05-01T17:08:23Z,2020-05-01T10:14:00Z,public,Ion Torrent Proton,metagenome,M0x30MCx3301_4,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ION_TORRENT,metacardis-statin,2020-05-02T00:00:00Z,2020-05-08T14:07:00Z,1,SAMEA6810905,M0x30MCx3301,human gut metagenome,Ion-Proton,ERP120556,M0x30MCx3301
ERR4088388,WGS,143,368851835,PRJEB37249,SAMEA6810905,278935746,INRA-META,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2020-05-01,2020-05-01T17:08:23Z,2020-05-01,2020-05-01T10:14:00Z,human-associated habitat,feces,ERX4084213,SAMEA6810905,human-gut,INRA-META,2020-05-01T17:08:23Z,2020-05-01T10:14:00Z,public,Ion Torrent Proton,metagenome,M0x30MCx3301_5,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ION_TORRENT,metacardis-statin,2020-05-02T00:00:00Z,2020-05-08T14:08:00Z,1,SAMEA6810905,M0x30MCx3301,human gut metagenome,Ion-Proton,ERP120556,M0x30MCx3301
ERR4088389,WGS,135,301704033,PRJEB37249,SAMEA6810905,228560982,INRA-META,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2020-05-01,2020-05-01T17:08:23Z,2020-05-01,2020-05-01T10:14:00Z,human-associated habitat,feces,ERX4084214,SAMEA6810905,human-gut,INRA-META,2020-05-01T17:08:23Z,2020-05-01T10:14:00Z,public,Ion Torrent Proton,metagenome,M0x30MCx3301_6,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ION_TORRENT,metacardis-statin,2020-05-02T00:00:00Z,2020-05-08T14:06:00Z,1,SAMEA6810905,M0x30MCx3301,human gut metagenome,Ion-Proton,ERP120556,M0x30MCx3301
ERR4088390,WGS,134,326150656,PRJEB37249,SAMEA6810905,247209285,INRA-META,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2020-05-01,2020-05-01T17:08:23Z,2020-05-01,2020-05-01T10:14:00Z,human-associated habitat,feces,ERX4084215,SAMEA6810905,human-gut,INRA-META,2020-05-01T17:08:23Z,2020-05-01T10:14:00Z,public,Ion Torrent Proton,metagenome,M0x30MCx3301_7,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ION_TORRENT,metacardis-statin,2020-05-02T00:00:00Z,2020-05-08T14:07:00Z,1,SAMEA6810905,M0x30MCx3301,human gut metagenome,Ion-Proton,ERP120556,M0x30MCx3301
ERR4088391,WGS,132,850411691,PRJEB37249,SAMEA6811320,635217517,INRA-META,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",2020-05-01,2020-05-01T17:08:23Z,2020-05-01,2020-05-01T10:14:05Z,human-associated habitat,feces,ERX4084216,SAMEA6811320,human-gut,INRA-META,2020-05-01T17:08:23Z,2020-05-01T10:14:05Z,public,Ion Torrent Proton,metagenome,M0x10MCx1146_1,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ION_TORRENT,metacardis-statin,2020-05-02T00:00:00Z,2020-05-04T10:11:00Z,1,SAMEA6811320,M0x10MCx1146,human gut metagenome,Ion-Proton,ERP120556,M0x10MCx1146
ERR4088392,WGS,134,818585565,PRJEB37249,SAMEA6811320,610637729,INRA-META,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2020-05-01,2020-05-01T17:08:23Z,2020-05-01,2020-05-01T10:14:05Z,human-associated habitat,feces,ERX4084217,SAMEA6811320,human-gut,INRA-META,2020-05-01T17:08:23Z,2020-05-01T10:14:05Z,public,Ion Torrent Proton,metagenome,M0x10MCx1146_2,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ION_TORRENT,metacardis-statin,2020-05-02T00:00:00Z,2020-05-04T10:11:00Z,1,SAMEA6811320,M0x10MCx1146,human gut metagenome,Ion-Proton,ERP120556,M0x10MCx1146
ERR4088393,WGS,134,766068679,PRJEB37249,SAMEA6811320,616713377,INRA-META,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2020-05-01,2020-05-01T17:08:23Z,2020-05-01,2020-05-01T10:14:05Z,human-associated habitat,feces,ERX4084218,SAMEA6811320,human-gut,INRA-META,2020-05-01T17:08:23Z,2020-05-01T10:14:05Z,public,Ion Torrent Proton,metagenome,M0x10MCx1146_3,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ION_TORRENT,metacardis-statin,2020-05-02T00:00:00Z,2020-05-07T21:17:00Z,1,SAMEA6811320,M0x10MCx1146,human gut metagenome,Ion-Proton,ERP120556,M0x10MCx1146
ERR4088394,WGS,131,150165800,PRJEB37249,SAMEA6811320,113823112,INRA-META,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2020-05-01,2020-05-01T17:08:23Z,2020-05-01,2020-05-01T10:14:05Z,human-associated habitat,feces,ERX4084219,SAMEA6811320,human-gut,INRA-META,2020-05-01T17:08:23Z,2020-05-01T10:14:05Z,public,Ion Torrent Proton,metagenome,M0x10MCx1146_4,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ION_TORRENT,metacardis-statin,2020-05-02T00:00:00Z,2020-05-07T11:39:00Z,1,SAMEA6811320,M0x10MCx1146,human gut metagenome,Ion-Proton,ERP120556,M0x10MCx1146
ERR4088395,WGS,135,193330107,PRJEB37249,SAMEA6811320,144839671,INRA-META,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",2020-05-01,2020-05-01T17:08:23Z,2020-05-01,2020-05-01T10:14:05Z,human-associated habitat,feces,ERX4084220,SAMEA6811320,human-gut,INRA-META,2020-05-01T17:08:23Z,2020-05-01T10:14:05Z,public,Ion Torrent Proton,metagenome,M0x10MCx1146_5,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ION_TORRENT,metacardis-statin,2020-05-02T00:00:00Z,2020-05-08T14:03:00Z,1,SAMEA6811320,M0x10MCx1146,human gut metagenome,Ion-Proton,ERP120556,M0x10MCx1146
ERR4088396,WGS,128,282126458,PRJEB37249,SAMEA6810903,213258210,INRA-META,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2020-05-01,2020-05-01T17:08:23Z,2020-05-01,2020-05-01T10:14:00Z,human-associated habitat,feces,ERX4084221,SAMEA6810903,human-gut,INRA-META,2020-05-01T17:08:23Z,2020-05-01T10:14:00Z,public,Ion Torrent Proton,metagenome,M0x10MCx1150_1,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ION_TORRENT,metacardis-statin,2020-05-02T00:00:00Z,2020-05-08T14:06:00Z,1,SAMEA6810903,M0x10MCx1150,human gut metagenome,Ion-Proton,ERP120556,M0x10MCx1150
ERR4088397,WGS,127,475387517,PRJEB37249,SAMEA6810903,360950153,INRA-META,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2020-05-01,2020-05-01T17:08:23Z,2020-05-01,2020-05-01T10:14:00Z,human-associated habitat,feces,ERX4084222,SAMEA6810903,human-gut,INRA-META,2020-05-01T17:08:23Z,2020-05-01T10:14:00Z,public,Ion Torrent Proton,metagenome,M0x10MCx1150_2,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ION_TORRENT,metacardis-statin,2020-05-02T00:00:00Z,2020-05-08T14:17:00Z,1,SAMEA6810903,M0x10MCx1150,human gut metagenome,Ion-Proton,ERP120556,M0x10MCx1150
