35493	k__Eukaryota;p__Streptophyta;c__;o__;f__;g__;s__	2759;35493;;;;;
3827	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Cicer;s__Cicer arietinum	2759;35493;3398;72025;3803;3826;3827
4081	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Solanum;s__Solanum lycopersicum	2759;35493;3398;4069;4070;4107;4081
33090	k__Eukaryota;p__;c__;o__;f__;g__;s__	2759;;;;;;
3885	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Phaseolus;s__Phaseolus vulgaris	2759;35493;3398;72025;3803;3883;3885
33208	k__Eukaryota;p__;c__;o__;f__;g__;s__	2759;;;;;;
9913	k__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__Bos taurus	2759;7711;40674;91561;9895;9903;9913
3755	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Prunus;s__Prunus dulcis	2759;35493;3398;3744;3745;3754;3755
3712	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica oleracea	2759;35493;3398;3699;3700;3705;3712
9031	k__Eukaryota;p__Chordata;c__Aves;o__Galliformes;f__Phasianidae;g__Gallus;s__Gallus gallus	2759;7711;8782;8976;9005;9030;9031
33154	k__Eukaryota;p__;c__;o__;f__;g__;s__	2759;;;;;;
4679	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium cepa	2759;35493;3398;73496;4668;4678;4679
3659	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Cucumis;s__Cucumis sativus	2759;35493;3398;71239;3650;3655;3659
3818	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Arachis;s__Arachis hypogaea	2759;35493;3398;72025;3803;3817;3818
