sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
D_positive_15,Bacteria,2,D,8370847,0,8370847,0.90440,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_15,Eukaryota,2759,D,884888,0,884888,0.09560,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_3,Bacteria,2,D,8371279,0,8371279,0.90850,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_3,Eukaryota,2759,D,843132,0,843132,0.09150,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_10,Bacteria,2,D,8371724,0,8371724,0.91823,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_10,Eukaryota,2759,D,745565,0,745565,0.08177,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_5,Bacteria,2,D,8369948,0,8369948,0.91581,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_5,Eukaryota,2759,D,769449,0,769449,0.08419,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_16,Bacteria,2,D,8371757,0,8371757,0.90818,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_16,Eukaryota,2759,D,846436,0,846436,0.09182,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_6,Bacteria,2,D,8370823,0,8370823,0.90159,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_6,Eukaryota,2759,D,913671,0,913671,0.09841,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_2,Bacteria,2,D,8371580,0,8371580,0.91567,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_2,Eukaryota,2759,D,770985,0,770985,0.08433,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_14,Bacteria,2,D,8369602,0,8369602,0.90727,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_14,Eukaryota,2759,D,855461,0,855461,0.09273,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_13,Bacteria,2,D,8371541,0,8371541,0.90689,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_13,Eukaryota,2759,D,859532,0,859532,0.09311,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_negative_1,Bacteria,2,D,9302398,0,9302398,0.99981,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_negative_1,Eukaryota,2759,D,1809,0,1809,0.00019,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_9,Bacteria,2,D,8371198,0,8371198,0.91053,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_9,Eukaryota,2759,D,822549,0,822549,0.08947,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_12,Bacteria,2,D,8371430,0,8371430,0.90342,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_12,Eukaryota,2759,D,894909,0,894909,0.09658,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_1,Bacteria,2,D,8371034,0,8371034,0.91905,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_1,Eukaryota,2759,D,737305,0,737305,0.08095,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_negative_2,Bacteria,2,D,9303393,0,9303393,0.99980,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_negative_2,Eukaryota,2759,D,1839,0,1839,0.00020,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_11,Bacteria,2,D,8371386,0,8371386,0.91439,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_11,Eukaryota,2759,D,783823,0,783823,0.08561,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_7,Bacteria,2,D,8372269,0,8372269,0.91379,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_7,Eukaryota,2759,D,789861,0,789861,0.08621,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_negative_3,Bacteria,2,D,9302840,0,9302840,0.99980,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_negative_3,Eukaryota,2759,D,1830,0,1830,0.00020,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_negative_4,Bacteria,2,D,9300659,0,9300659,0.99980,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_negative_4,Eukaryota,2759,D,1835,0,1835,0.00020,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_8,Bacteria,2,D,8371871,0,8371871,0.91276,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_8,Eukaryota,2759,D,800171,0,800171,0.08724,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_positive_4,Bacteria,2,D,8373310,0,8373310,0.90990,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_positive_4,Eukaryota,2759,D,829108,0,829108,0.09010,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
