sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
S_positive_15,Bacteroides stercoris,46506,S,382408,72403,454811,0.05183,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris,2;976;200643;171549;815;816;46506
S_positive_15,Bacteroides uniformis,820,S,243075,366013,609088,0.06941,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis,2;976;200643;171549;815;816;820
S_positive_15,Bacteroides thetaiotaomicron,818,S,156707,46228,202935,0.02313,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,2;976;200643;171549;815;816;818
S_positive_15,Bacteroides caccae,47678,S,141444,23494,164938,0.01880,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,2;976;200643;171549;815;816;47678
S_positive_15,Bacteroides fragilis,817,S,78875,83010,161885,0.01845,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,2;976;200643;171549;815;816;817
S_positive_15,Bacteroides cellulosilyticus,246787,S,77603,87912,165515,0.01886,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus,2;976;200643;171549;815;816;246787
S_positive_15,Bacteroides faecis,674529,S,55731,23105,78836,0.00898,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis,2;976;200643;171549;815;816;674529
S_positive_15,Bacteroides eggerthii,28111,S,51477,13545,65022,0.00741,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii,2;976;200643;171549;815;816;28111
S_positive_15,Bacteroides xylanisolvens,371601,S,46489,104684,151173,0.01723,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens,2;976;200643;171549;815;816;371601
S_positive_15,Bacteroides ovatus,28116,S,27795,122636,150431,0.01714,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,2;976;200643;171549;815;816;28116
S_positive_15,Bacteroides salyersiae,291644,S,15647,1473,17120,0.00195,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae,2;976;200643;171549;815;816;291644
S_positive_15,Bacteroides sp. CACC 737,2755405,S,3729,32834,36563,0.00417,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. CACC 737,2;976;200643;171549;815;816;2755405
S_positive_15,Bacteroides sp. MSB163,3117552,S,1373,587,1960,0.00022,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. MSB163,2;976;200643;171549;815;816;3117552
S_positive_15,Bacteroides sp. D2,556259,S,1353,3486,4839,0.00055,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. D2,2;976;200643;171549;815;816;556259
S_positive_15,Bacteroides sp. A1C1,2528203,S,1195,14019,15214,0.00173,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. A1C1,2;976;200643;171549;815;816;2528203
S_positive_15,Bacteroides sp. HF-162,2785531,S,575,9444,10019,0.00114,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. HF-162,2;976;200643;171549;815;816;2785531
S_positive_15,Bacteroides sp. ZJ-18,2709390,S,29,356,385,0.00004,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. ZJ-18,2;976;200643;171549;815;816;2709390
S_positive_15,Bacteroides intestinalis,329854,S,8879,1397,10276,0.00117,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis,2;976;200643;171549;815;816;329854
