kingdom,phylum,class,order,family,genus,species,id,db,matched_taxid,url,rank,filename,num_records,seqlength
Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea,GCA_037043335.1,genbank,3712,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/043/335/GCA_037043335.1_BobV2/GCA_037043335.1_BobV2_genomic.fna.gz,species,sequences/GCA_037043335.1_BobV2.fna.gz,88,566892304
Eukaryota,Streptophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,Actinidia chinensis,GCA_009663005.1,genbank,3625,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/663/005/GCA_009663005.1_ASM966300v1/GCA_009663005.1_ASM966300v1_genomic.fna.gz,species,sequences/GCA_009663005.1_ASM966300v1.fna.gz,1720,653926268
Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium cepa,GCA_030765085.1,genbank,4679,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/765/085/GCA_030765085.1_ASM3076508v1/GCA_030765085.1_ASM3076508v1_genomic.fna.gz,species,sequences/GCA_030765085.1_ASM3076508v1.fna.gz,2099,15932385976
Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium sativum,GCA_030737875.1,genbank,4682,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/737/875/GCA_030737875.1_ASM3073787v1/GCA_030737875.1_ASM3073787v1_genomic.fna.gz,species,sequences/GCA_030737875.1_ASM3073787v1.fna.gz,7739,16462794857
Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Anacardium,Anacardium occidentale,GCA_026122585.1,genbank,171929,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/122/585/GCA_026122585.1_DCI_ANoc_v1/GCA_026122585.1_DCI_ANoc_v1_genomic.fna.gz,species,sequences/GCA_026122585.1_DCI_ANoc_v1.fna.gz,3268,356592713
Eukaryota,Streptophyta,Magnoliopsida,Poales,Bromeliaceae,Ananas,Ananas comosus,GCA_029339315.1,genbank,4615,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/339/315/GCA_029339315.1_ASM2933931v1/GCA_029339315.1_ASM2933931v1_genomic.fna.gz,species,sequences/GCA_029339315.1_ASM2933931v1.fna.gz,37,483204069
Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens,GCA_902728035.1,genbank,4045,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/728/035/GCA_902728035.1_Apium_graveolens/GCA_902728035.1_Apium_graveolens_genomic.fna.gz,species,sequences/GCA_902728035.1_Apium_graveolens.fna.gz,4863,3332579003
Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis hypogaea,GCA_003086295.3,genbank,3818,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/295/GCA_003086295.3_arahy.Tifrunner.gnm2.J5K5/GCA_003086295.3_arahy.Tifrunner.gnm2.J5K5_genomic.fna.gz,species,sequences/GCA_003086295.3_arahy.Tifrunner.gnm2.J5K5.fna.gz,442,2557413415
Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Arctium,Arctium lappa,GCA_023525745.1,genbank,4217,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/525/745/GCA_023525745.1_ASM2352574v1/GCA_023525745.1_ASM2352574v1_genomic.fna.gz,species,sequences/GCA_023525745.1_ASM2352574v1.fna.gz,299,1727363248
Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus officinalis,GCA_001876935.1,genbank,4686,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/876/935/GCA_001876935.1_Aspof.V1/GCA_001876935.1_Aspof.V1_genomic.fna.gz,species,sequences/GCA_001876935.1_Aspof.V1.fna.gz,11792,1187538024
Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,Avena sativa,GCA_910574605.1,genbank,4498,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/574/605/GCA_910574605.1_Avena_sativa_cv_Sang_v1_assembly/GCA_910574605.1_Avena_sativa_cv_Sang_v1_assembly_genomic.fna.gz,species,sequences/GCA_910574605.1_Avena_sativa_cv_Sang_v1_assembly.fna.gz,529781,10958296824
Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Beta,Beta vulgaris,GCA_037039105.1,genbank,161934,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/039/105/GCA_037039105.1_ASM3703910v1/GCA_037039105.1_ASM3703910v1_genomic.fna.gz,species,sequences/GCA_037039105.1_ASM3703910v1.fna.gz,137153,675528860
Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica juncea,GCA_020002505.1,genbank,3707,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/002/505/GCA_020002505.1_ASM2000250v1/GCA_020002505.1_ASM2000250v1_genomic.fna.gz,species,sequences/GCA_020002505.1_ASM2000250v1.fna.gz,722,894189992
Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica napus,GCA_033556945.1,genbank,3708,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/556/945/GCA_033556945.1_ASM3355694v1/GCA_033556945.1_ASM3355694v1_genomic.fna.gz,species,sequences/GCA_033556945.1_ASM3355694v1.fna.gz,1375,1062754919
