orig_taxid,kingdom,phylum,class,order,family,genus,species,id,db,matched_taxid,url,rank
1216010,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea,GCA_037043335.1,genbank,3712,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/043/335/GCA_037043335.1_BobV2,species
3625,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,Actinidia chinensis,GCA_009663005.1,genbank,3625,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/663/005/GCA_009663005.1_ASM966300v1,species
4679,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium cepa,GCA_030765085.1,genbank,4679,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/765/085/GCA_030765085.1_ASM3076508v1,species
4682,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium sativum,GCA_030737875.1,genbank,4682,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/737/875/GCA_030737875.1_ASM3073787v1,species
171929,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Anacardium,Anacardium occidentale,GCA_026122585.1,genbank,171929,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/122/585/GCA_026122585.1_DCI_ANoc_v1,species
4615,Eukaryota,Streptophyta,Magnoliopsida,Poales,Bromeliaceae,Ananas,Ananas comosus,GCA_029339315.1,genbank,4615,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/339/315/GCA_029339315.1_ASM2933931v1,species
4045,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens,GCA_902728035.1,genbank,4045,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/728/035/GCA_902728035.1_Apium_graveolens,species
3818,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis hypogaea,GCA_003086295.3,genbank,3818,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/295/GCA_003086295.3_arahy.Tifrunner.gnm2.J5K5,species
4217,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Arctium,Arctium lappa,GCA_023525745.1,genbank,4217,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/525/745/GCA_023525745.1_ASM2352574v1,species
4686,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus officinalis,GCA_001876935.1,genbank,4686,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/876/935/GCA_001876935.1_Aspof.V1,species
4498,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,Avena sativa,GCA_910574605.1,genbank,4498,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/574/605/GCA_910574605.1_Avena_sativa_cv_Sang_v1_assembly,species
161934,Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Beta,Beta vulgaris,GCA_037039105.1,genbank,161934,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/039/105/GCA_037039105.1_ASM3703910v1,species
3707,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica juncea,GCA_020002505.1,genbank,3707,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/002/505/GCA_020002505.1_ASM2000250v1,species
3708,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica napus,GCA_033556945.1,genbank,3708,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/556/945/GCA_033556945.1_ASM3355694v1,species
138011,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica napus,GCA_033556945.1,genbank,3708,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/556/945/GCA_033556945.1_ASM3355694v1,species
3712,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea,GCA_037043335.1,genbank,3712,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/043/335/GCA_037043335.1_BobV2,species
3715,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea,GCA_037043335.1,genbank,3712,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/043/335/GCA_037043335.1_BobV2,species
178616,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea,GCA_037043335.1,genbank,3712,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/043/335/GCA_037043335.1_BobV2,species
109379,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea,GCA_037043335.1,genbank,3712,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/043/335/GCA_037043335.1_BobV2,species
36774,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea,GCA_037043335.1,genbank,3712,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/043/335/GCA_037043335.1_BobV2,species
3711,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica rapa,GCA_030704385.1,genbank,3711,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/704/385/GCA_030704385.1_ASM3070438v1,species
51350,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica rapa,GCA_030704385.1,genbank,3711,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/704/385/GCA_030704385.1_ASM3070438v1,species
3821,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Cajanus,Cajanus cajan,GCA_015227855.1,genbank,3821,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/227/855/GCA_015227855.1_Cajanus_cajan_v3.0,species
4442,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Theaceae,Camellia,Camellia sinensis,GCA_032173705.1,genbank,4442,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/173/705/GCA_032173705.1_NAAS_Sm_1.0,species
4072,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum annuum,GCA_031234615.1,genbank,4072,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/234/615/GCA_031234615.1_ASM3123461v1,species
3649,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Caricaceae,Carica,Carica papaya,GCA_022788785.1,genbank,3649,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/788/785/GCA_022788785.1_sunset,species
4222,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Carthamus,Carthamus tinctorius,GCA_001633085.1,genbank,4222,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/085/GCA_001633085.1_Safflower1,species
32201,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,Carya illinoinensis,GCA_018689175.1,genbank,32201,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/689/175/GCA_018689175.1_C.illinoinensisElliott_v1,species
3827,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Cicer,Cicer arietinum,GCA_000347275.4,genbank,3827,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/275/GCA_000347275.4_ASM34727v4,species
114280,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium endivia,GCA_023376185.1,genbank,114280,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/376/185/GCA_023376185.1_v1,species
13427,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium intybus,GCA_030463085.1,genbank,13427,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/463/085/GCA_030463085.1_CHIC_2.0,species
3654,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Citrullus,Citrullus lanatus,GCA_029034555.1,genbank,3654,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/034/555/GCA_029034555.1_KOR._cv.242-1,species
2708,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus x limon,GCA_034663535.1,genbank,2708,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/663/535/GCA_034663535.1_C.limon_PB_Hap2,species
37334,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus maxima,GCA_029641205.1,genbank,37334,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/641/205/GCA_029641205.1_ASM2964120v1,species
85571,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus reticulata,GCA_036169575.1,genbank,85571,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/169/575/GCA_036169575.1_PB533_SCSK_HAP2,species
2711,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus sinensis,GCA_022201065.1,genbank,2711,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/201/065/GCA_022201065.1_DVS_B1.0,species
13443,Eukaryota,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea arabica,GCA_036785885.1,genbank,13443,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/785/885/GCA_036785885.1_Coffea_Arabica_ET-39_HiFi,species
49390,Eukaryota,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea canephora,GCA_036785865.1,genbank,49390,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/785/865/GCA_036785865.1_ASM3678586v1,species
13451,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus avellana,GCA_901000735.2,genbank,13451,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/000/735/GCA_901000735.2_CavTom2PMs-1.0,species
82528,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Iridaceae,Crocus,Crocus sativus,GCA_029339355.1,genbank,82528,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/339/355/GCA_029339355.1_CS_assembly_2,species
3656,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis melo,GCA_030578075.1,genbank,3656,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/578/075/GCA_030578075.1_P84_V1,species
